Army|96|Fairleigh Dickinson|85
Thomas University|68|Florida A&amp;M|70
Northern Ariz.|52|Gonzaga|91
Prairie View|69|Houston|110
Loyola Maryland|76|UMBC|57
Sacred Heart|84|Mass.-Lowell|87
Southern Utah|64|UNLV|84
Loyola (IL)|51|New Mexico|75
Tennessee Tech|63|New Mexico St.|76
Brown|66|Niagara|75
Mars Hill|51|UNC Asheville|84
Roanoke|94|N.C. A&amp;T|87
IUPUI|56|North Carolina St.|79
Valley City State|49|North Dakota St.|69
Edward Waters|69|North Florida|98
Fairfield|72|Northwestern|79
Eastern Mich.|81|Oakland|91
Morgan St.|48|Old Dominion|79
Toccoa Falls|75|Presbyterian|116
Illinois|59|Providence|60
Catawba|60|Radford|68
Bucknell|81|Robert Morris|76
Buffalo|67|St. Joseph's|89
San Diego Christian|61|San Diego St.|71
Arkansas St.|75|Savannah St.|76
Mississippi Col.|69|Southeastern La.|76
Kent St.|69|Southern Ill.|72
St. Louis|70|SIU Edwardsville|60
Fisk|50|Tennessee St.|72
Indiana-Kokomo|40|Valparaiso|78
Quinnipiac|70|Vermont|83
Jacksonville St.|62|Virginia Tech|71
Richmond|91|Wake Forest|82
Toledo|100|Youngstown St.|78
Virginia|82|Bradley|57
Creighton|65|Indiana|86
Miami (FL)|105|Mississippi St.|79
Utah|73|Texas Tech|63
Boise St.|76|Arizona|88
A&amp;M-Corpus Christi|70|Texas A&amp;M|95
Iowa|89|Marquette|61
SMU|85|Stanford|70
Mississippi Val.|64|Air Force|65
Southeast Mo. St.|56|Alabama A&amp;M|74
Colgate|67|Albany (NY)|88
Central Conn. St.|57|Boston College|82
Santa Clara|63|UC-Riverside|77
Furman|68|Charlotte|77
Mid-Atlantic Christian|60|Citadel|132
Texas Southern|56|Clemson|76
Loyola Marymount|75|Colorado St.|83
San Francisco|71|Fresno St.|78
Toccoa Falls|79|Gardner-Webb|125
Mississippi|62|George Mason|68
Emmanuel|58|Georgia St.|77
Green Bay|77|Georgia Tech|107
Alcorn St.|46|Grand Canyon|79
New Hampshire|73|Holy Cross|69
South Dakota St.|83|Illinois St.|67
Yale|79|Lehigh|67
Maine|79|Long Island|84
South Ala.|66|LSU|78
Central Ark.|62|Massachusetts|89
Grambling|65|Memphis|83
Alabama St.|49|Mercer|70
Temple|75|Minnesota|70
Butler|93|Missouri St.|59
Delaware St.|60|Nebraska|75
Pensacola Christian|57|New Orleans|94
Mobile|58|Nicholls St.|80
Boston U.|76|NJIT|90
La.-Monroe|80|Northwestern St.|64
Oregon St.|77|Rice|69
Hartford|67|St. Peter's|66
Long Beach St.|80|Seton Hall|77
Navy|67|S.C. Upstate|55
George Washington|73|South Fla.|67
Tulane|82|Southern U.|90
Rutgers|59|St. John's (NY)|61
Marshall|74|Tennessee|84
Houston Baptist|63|TCU|90
Oklahoma St.|69|Towson|52
UAB|79|Troy|63
Pepperdine|67|UCLA|81
Trinity Christian|42|Valparaiso|89
Stony Brook|72|Vanderbilt|79
Mt. St. Mary's|67|Washington|100
Antelope Valley|47|Weber St.|90
Washington Adventist|60|William &amp; Mary|85
N.M. Highlands|67|Wyoming|83
Ark.-Pine Bluff|46|Michigan St.|92
East Tenn. St.|51|Villanova|86
Long Beach St.|52|Virginia|87
Xavier|86|Michigan|70
McNeese St.|56|Oklahoma|85
Savannah St.|59|Oregon|77
Stetson|62|West Virginia|103
Miami (FL)|90|Utah|66
Wright St.|63|Kentucky|78
Rider|58|Maryland|65
Duke|79|VCU|71
Jackson St.|60|Baylor|77
East Carolina|62|Cal|70
La.-Lafayette|93|Alabama|105
Charleston So.|75|Arkansas|93
Ga. Southern|62|Auburn|92
Seton Hall|67|Bradley|59
Adams St.|56|BYU|97
Prairie View|58|Bryant|71
Temple|69|Butler|74
Fresno Pacific|68|Cal St. Bakersfield|81
Portland|63|Colorado|85
Penn St.|52|Duquesne|78
Ball St.|81|Eastern Ky.|89
Siena Heights|34|Eastern Mich.|79
Northeastern|60|Fla. Atlantic|58
Hofstra|82|Florida St.|77
Wisconsin|61|Georgetown|71
Murray St.|52|Georgia|63
Appalachian St.|61|Hampton|82
Medgar Evers|64|Howard|106
Delaware|77|Iona|92
Florida College|63|Jacksonville|81
FIU|61|James Madison|64
South Dakota|72|Kansas St.|93
South Carolina St.|83|Longwood|77
Lipscomb|68|Miami (OH)|70
Trinity International (IL)|61|Milwaukee|85
Minnesota|74|Missouri St.|69
San Jose St.|69|Montana St.|81
Indiana St.|70|Norfolk St.|61
Embry-Riddle|57|Northern Ariz.|90
Columbia|80|Northwestern|83
Texas-Arlington|73|Ohio St.|68
George Mason|71|Oklahoma St.|68
Detroit|79|Pittsburgh|95
Siena|76|Radford|62
Holy Names|56|Sacramento St.|96
DePaul|61|South Carolina|76
Oral Roberts|70|UT Martin|66
Tex. A&amp;M-Kingsville|56|Texas-Rio Grande Valley|78
Mississippi St.|72|Texas Tech|74
Mississippi|76|Towson|60
Ohio|88|Tulsa|90
Union (TN)|49|Utah St.|73
Antelope Valley|60|Utah Valley|104
Idaho St.|67|Washington St.|85
Jacksonville St.|69|Winthrop|80
North Carolina|67|UNI|71
Old Dominion|39|Purdue|61
North Florida|61|Louisville|89
UNC Asheville|47|Texas A&amp;M|75
A&amp;M-Corpus Christi|56|Texas|67
Oakwood|89|Alabama A&amp;M|97
SUNY-Oneonta|49|Albany (NY)|92
Longwood|67|Ball St.|78
Siena|78|Bryant|59
Austin Peay|64|Cal Poly|73
San Diego|55|Cal St. Fullerton|67
Oregon St.|71|UC-Santa Barbara|59
Morgan St.|59|Campbell|54
Cornell|62|Canisius|87
UNC Greensboro|54|UCF|65
Trinity International (IL)|70|Chicago St.|81
Piedmont|35|Coastal Caro.|116
Furman|58|Connecticut|83
Col. of Charleston|81|Davidson|82
William &amp; Mary|66|Dayton|69
Lamar|77|Delaware St.|66
Florida St.|83|DePaul|67
UMKC|79|Drake|73
Monmouth|82|Drexel|74
Western Ill.|83|Eastern Ill.|63
South Carolina St.|82|Eastern Ky.|92
Belmont|88|Evansville|93
Sacred Heart|79|Fairfield|83
Youngstown St.|101|Fla. Gulf Coast|104
UT Martin|62|FIU|69
Fairleigh Dickinson|62|Fordham|85
Mt. St. Mary's|56|Gonzaga|101
Louisiana Tech|86|Grambling|67
Western Caro.|69|High Point|75
Florida A&amp;M|52|Houston|97
Linfield|59|Idaho|85
Chattanooga|81|Illinois|77
Houston Baptist|56|Illinois St.|72
SIU Edwardsville|67|IPFW|87
Kentucky St.|82|IUPUI|86
Oral Roberts|74|James Madison|64
Marist|72|Kent St.|79
Central Penn|50|Liberty|86
Northeastern|79|Lipscomb|67
Toledo|62|Loyola (IL)|69
Bucknell|80|Manhattan|67
Fla. Atlantic|75|Miami (OH)|69
Carroll|61|Montana|70
Mississippi Val.|46|New Mexico St.|85
Lafayette|66|NJIT|80
Ohio|93|Norfolk St.|71
Buffalo|86|N.C. A&amp;T|68
Western Mich.|76|UNC Wilmington|80
Bowling Green|59|North Dakota|77
UMBC|81|Northern Colo.|72
Eureka|52|Northern Ill.|100
Morehead St.|64|Northern Ky.|56
Mass.-Lowell|57|Notre Dame|83
Nevada|85|Pacific|82
Citadel|79|Presbyterian|95
St. Peter's|72|Princeton|75
Brown|73|Providence|94
Prairie View|56|Radford|64
Cleveland St.|45|Rhode Island|73
Bethune-Cookman|64|Richmond|89
Central Ark.|84|Rutgers|87
American|48|St. Francis (PA)|68
Florida|74|St. Joseph's|63
St. Francis (NY)|60|St. Louis|76
Southern Ill.|86|Sam Houston St.|81
Kennesaw St.|65|Samford|77
UALR|49|San Diego St.|43
UC-Riverside|57|San Francisco|58
Bob Jones|83|S.C. Upstate|79
Boston U.|78|South Fla.|66
New Mexico|82|Southern California|90
UTSA|82|Southern Utah|79
Loyola Maryland|82|St. Bonaventure|94
Elon|55|Syracuse|66
Middle Tenn.|69|Tennessee St.|66
South Dakota St.|76|TCU|67
Texas St.|62|UTEP|77
Niagara|67|Vermont|85
VMI|52|Virginia Tech|76
Maine|73|Wagner|87
Penn|67|Washington|104
Stony Brook|66|Western Ky.|67
Emporia St.|54|Wichita St.|76
Md.-East. Shore|63|Wofford|73
Akron|56|Villanova|75
George Mason|66|Virginia|83
Valparaiso|67|Oregon|73
Butler|75|Miami (FL)|85
Temple|68|Utah|74
Florida|70|Purdue|85
Northwestern St.|42|Arizona|61
Georgetown|84|Duke|86
Yale|69|SMU|71
Robert Morris|52|Air Force|64
Jacksonville St.|55|UAB|61
Jackson St.|69|Arkansas St.|78
South Carolina St.|60|Ball St.|72
Harvard|56|Boston College|69
Towson|62|Bradley|60
Ark.-Pine Bluff|50|Cincinnati|99
Neb.-Omaha|82|Colorado|87
Oakland|89|Colorado St.|95
Lehigh|61|Columbia|88
Longwood|97|Eastern Ky.|110
North Dakota|60|Fla. Gulf Coast|73
Oral Roberts|76|FIU|70
Army|81|George Washington|92
East Tenn. St.|69|Georgia Tech|68
Minn. Duluth|74|Green Bay|94
Nicholls St.|74|Hawaii|99
